Model,Accuracy,Precision,Recall,F1,ROC_AUC
Logistic Regression (baseline),0.7256574271499645,0.4901315789473684,0.7967914438502673,0.6069246435845214,0.8350930005021457
Random Forest,0.7874911158493249,0.631578947368421,0.48128342245989303,0.5462822458270106,0.8152957742104145
XGBoost,0.783226723525231,0.6055045871559633,0.5294117647058824,0.5649072753209701,0.8206472503636673
CatBoost,0.7796730632551528,0.6012658227848101,0.5080213903743316,0.5507246376811594,0.8247977180839774
Random Forest (Tuned),0.7555081734186212,0.5277777777777778,0.7620320855614974,0.6236323851203501,0.8329265262384105
